Description,GTINShipDate,Quantity
12ct Steam Bags,4/30/2017,1
18kg (100-150g),4/30/2017,11
18kg (150-300g),4/30/2017,2
18kg (220-260g),4/30/2017,0
18kg (300-450g),4/30/2017,0
18kg (600-800g),4/30/2017,1
20lb #1,4/30/2017,0
20lb No.1 (20ct),4/30/2017,4
20lb Purple,4/30/2017,0
20lb Spec - Bonita No 1,4/30/2017,3
"36""Pickouts(2.5""-4.5"")",4/30/2017,5
40lb #1 Sysco/FP,4/30/2017,0
40lb 100ct,4/30/2017,1
40lb 110ct,4/30/2017,0
40lb 120ct - CV,4/30/2017,0
40lb 25-28ct - CV,4/30/2017,0
40lb 33ct,4/30/2017,4
40lb 35ct Sysco/FP,4/30/2017,0
40lb 38-40ct,4/30/2017,0
40lb 38-40ct - CV,4/30/2017,3
40lb 40-50ct - CV,4/30/2017,2
40lb 45ct,4/30/2017,15
40lb 50ct,4/30/2017,9
40lb 55-65ct - CV,4/30/2017,0
40lb 55ct,4/30/2017,17
40lb 65-85ct,4/30/2017,0
40lb 65ct,4/30/2017,9
40lb 65ct Sysco/FP,4/30/2017,3
40lb 70-80ct - CV,4/30/2017,2
40lb 70ct,4/30/2017,1
40lb 75ct,4/30/2017,4
40lb 90ct,4/30/2017,5
40lb Bonita (White),4/30/2017,6
40lb Bonita JBO,4/30/2017,0
40lb Fingerling,4/30/2017,5
40lb Jumbo,4/30/2017,4
40lb Marble Mix,4/30/2017,4
40lb Medium,4/30/2017,1
40lb Murasaki Med,4/30/2017,0
40lb No 1,4/30/2017,3
40lb No 2,4/30/2017,1
40lb Organic,4/30/2017,5
40lb Spc-Purple,4/30/2017,9
40lb Spec-Burgundy,4/30/2017,0
40lb Spec-Carolina Ruby,4/30/2017,1
500kg (100-150g),4/30/2017,1
500kg (150-300g),4/30/2017,17
500kg (220g-260g),4/30/2017,0
500kg (300-800g),4/30/2017,17
500kg Class 2,4/30/2017,13
500kg Field Run,4/30/2017,4
500kg Giant,4/30/2017,3
500kg Pickouts,4/30/2017,0
500kg Spc - Purple ,4/30/2017,0
500kg Spc-Purple Mix,4/30/2017,2
"55"" Bin Giant",4/30/2017,17
6kg (150-300g),4/30/2017,0
6kg (300-450g)L1,4/30/2017,7
6kg (450-600g)L2,4/30/2017,3
6kg (600-800g),4/30/2017,7
6kg Spec-Purple,4/30/2017,3
8/3lb Bags,4/30/2017,0
HP StkHse (12-16oz),4/30/2017,3
Micro - 6Kg (24ct),4/30/2017,5
Micro 20lb 25ct,4/30/2017,0
Micro 20lb 30ct,4/30/2017,2
Murasaki Small Plastic,4/30/2017,0
"Murasaki(1.5""-3.5"") Plastic",4/30/2017,0
Pickouts - Plastic,4/30/2017,0
Tray Pack - 4 pk 12 ct,4/30/2017,3
Unused,4/30/2017,0
10lb #1,5/31/2017,1
12/3lb Bags,5/31/2017,9
12ct Steam Bags,5/31/2017,0
18kg (100-150g),5/31/2017,0
18kg (150-300g),5/31/2017,3
18kg (220-260g),5/31/2017,0
18kg (300-450g),5/31/2017,0
18kg (600-800g),5/31/2017,2
20lb #1,5/31/2017,0
20lb No.1 (20ct),5/31/2017,0
20lb Purple,5/31/2017,0
20lb Spec - Bonita No 1,5/31/2017,4
"36""Pickouts(2.5""-4.5"")",5/31/2017,0
40lb #1 Sysco/FP,5/31/2017,0
40lb 100ct,5/31/2017,5
40lb 110ct,5/31/2017,2
40lb 120ct - CV,5/31/2017,0
40lb 25-28ct - CV,5/31/2017,1
40lb 33ct,5/31/2017,8
40lb 35ct Sysco/FP,5/31/2017,0
40lb 38-40ct,5/31/2017,3
40lb 38-40ct - CV,5/31/2017,0
40lb 40-50ct - CV,5/31/2017,1
40lb 45ct,5/31/2017,16
40lb 50ct,5/31/2017,12
40lb 55-65ct - CV,5/31/2017,0
40lb 55ct,5/31/2017,18
40lb 65-85ct,5/31/2017,0
40lb 65ct,5/31/2017,5
40lb 65ct Sysco/FP,5/31/2017,3
40lb 70-80ct - CV,5/31/2017,1
40lb 70ct,5/31/2017,7
40lb 75ct,5/31/2017,9
40lb 90ct,5/31/2017,9
40lb Bonita (White),5/31/2017,5
40lb Bonita JBO,5/31/2017,0
40lb Fingerling,5/31/2017,8
40lb Jumbo,5/31/2017,4
40lb Marble Mix,5/31/2017,3
40lb Medium,5/31/2017,2
40lb Murasaki Med,5/31/2017,0
40lb No 1,5/31/2017,5
40lb No 2,5/31/2017,0
40lb Organic,5/31/2017,9
40lb Spc-Purple,5/31/2017,7
40lb Spec-Burgundy,5/31/2017,1
40lb Spec-Carolina Ruby,5/31/2017,1
500kg (100-150g),5/31/2017,7
500kg (150-300g),5/31/2017,11
500kg (220g-260g),5/31/2017,0
500kg (300-800g),5/31/2017,10
500kg (600-800g),5/31/2017,1
500kg Bonita Sm/Med,5/31/2017,1
500kg Class 2,5/31/2017,1
500kg Field Run,5/31/2017,6
500kg Giant,5/31/2017,4
500kg Pickouts,5/31/2017,0
500kg Spc - Purple ,5/31/2017,0
500kg Spc-Purple Mix,5/31/2017,0
"55"" Bin Giant",5/31/2017,19
6kg (150-300g),5/31/2017,0
6kg (300-450g)L1,5/31/2017,1
6kg (450-600g)L2,5/31/2017,6
6kg (600-800g),5/31/2017,0
6kg Spec-Purple,5/31/2017,1
8/3lb Bags,5/31/2017,2
HP StkHse (12-16oz),5/31/2017,4
Micro - 6Kg (24ct),5/31/2017,8
Micro 20lb 25ct,5/31/2017,0
Micro 20lb 30ct,5/31/2017,3
Murasaki Small Plastic,5/31/2017,0
"Murasaki(1.5""-3.5"") Plastic",5/31/2017,0
Pickouts - Plastic,5/31/2017,2
Plastic Bin Purple,5/31/2017,1
Tray Pack - 4 pk 12 ct,5/31/2017,4
Unused,5/31/2017,0
10lb #1,6/30/2017,2
12/3lb Bags,6/30/2017,12
12ct Steam Bags,6/30/2017,0
18kg (100-150g),6/30/2017,0
18kg (150-300g),6/30/2017,3
18kg (220-260g),6/30/2017,0
18kg (300-450g),6/30/2017,0
18kg (600-800g),6/30/2017,0
20lb #1,6/30/2017,0
20lb No.1 (20ct),6/30/2017,0
20lb Purple,6/30/2017,0
20lb Spec - Bonita No 1,6/30/2017,4
"36""Pickouts(2.5""-4.5"")",6/30/2017,0
40lb #1 Sysco/FP,6/30/2017,0
40lb 100ct,6/30/2017,2
40lb 110ct,6/30/2017,4
40lb 120ct - CV,6/30/2017,0
40lb 25-28ct - CV,6/30/2017,2
40lb 33ct,6/30/2017,6
40lb 35ct Sysco/FP,6/30/2017,0
40lb 38-40ct,6/30/2017,0
40lb 38-40ct - CV,6/30/2017,2
40lb 40-50ct - CV,6/30/2017,1
40lb 45ct,6/30/2017,18
40lb 50ct,6/30/2017,14
40lb 55-65ct - CV,6/30/2017,0
40lb 55ct,6/30/2017,18
40lb 65-85ct,6/30/2017,0
40lb 65ct,6/30/2017,9
40lb 65ct Sysco/FP,6/30/2017,3
40lb 70-80ct - CV,6/30/2017,1
40lb 70ct,6/30/2017,5
40lb 75ct,6/30/2017,9
40lb 90ct,6/30/2017,6
40lb Bonita (White),6/30/2017,3
40lb Bonita JBO,6/30/2017,0
40lb Fingerling,6/30/2017,5
40lb Jumbo,6/30/2017,4
40lb Marble Mix,6/30/2017,4
40lb Medium,6/30/2017,3
40lb Murasaki Med,6/30/2017,0
40lb No 1,6/30/2017,1
40lb No 2,6/30/2017,0
40lb Organic,6/30/2017,9
40lb Spc-Purple,6/30/2017,7
40lb Spec-Burgundy,6/30/2017,0
40lb Spec-Carolina Ruby,6/30/2017,1
500kg (100-150g),6/30/2017,7
500kg (150-300g),6/30/2017,13
500kg (220g-260g),6/30/2017,0
500kg (300-800g),6/30/2017,16
500kg (600-800g),6/30/2017,3
500kg Bonita Sm/Med,6/30/2017,1
500kg Class 2,6/30/2017,3
500kg Field Run,6/30/2017,3
500kg Giant,6/30/2017,8
500kg Pickouts,6/30/2017,0
500kg Spc - Purple ,6/30/2017,0
500kg Spc-Purple Mix,6/30/2017,3
"55"" Bin Giant",6/30/2017,13
6kg (150-300g),6/30/2017,0
6kg (300-450g)L1,6/30/2017,2
6kg (450-600g)L2,6/30/2017,3
6kg (600-800g),6/30/2017,1
6kg Spec-Purple,6/30/2017,0
8/3lb Bags,6/30/2017,3
HP StkHse (12-16oz),6/30/2017,2
Micro - 6Kg (24ct),6/30/2017,4
Micro 20lb 25ct,6/30/2017,0
Micro 20lb 30ct,6/30/2017,2
Murasaki Small Plastic,6/30/2017,0
"Murasaki(1.5""-3.5"") Plastic",6/30/2017,1
Pickouts - Plastic,6/30/2017,3
Plastic Bin Purple,6/30/2017,0
Tray Pack - 4 pk 12 ct,6/30/2017,4
Unused,6/30/2017,0
10lb #1,7/31/2017,4
12/3lb Bags,7/31/2017,11
12ct Steam Bags,7/31/2017,0
18kg (100-150g),7/31/2017,0
18kg (150-300g),7/31/2017,0
18kg (220-260g),7/31/2017,0
18kg (300-450g),7/31/2017,0
18kg (600-800g),7/31/2017,1
20lb #1,7/31/2017,0
20lb No.1 (20ct),7/31/2017,0
20lb Purple,7/31/2017,0
20lb Spec - Bonita No 1,7/31/2017,4
"36""Pickouts(2.5""-4.5"")",7/31/2017,0
40lb #1 Sysco/FP,7/31/2017,0
40lb 100ct,7/31/2017,1
40lb 110ct,7/31/2017,1
40lb 120ct - CV,7/31/2017,0
40lb 25-28ct - CV,7/31/2017,1
40lb 33ct,7/31/2017,1
40lb 35ct Sysco/FP,7/31/2017,0
40lb 38-40ct,7/31/2017,1
40lb 38-40ct - CV,7/31/2017,2
40lb 40-50ct - CV,7/31/2017,2
40lb 45ct,7/31/2017,13
40lb 50ct,7/31/2017,11
40lb 55-65ct - CV,7/31/2017,0
40lb 55ct,7/31/2017,15
40lb 65-85ct,7/31/2017,0
40lb 65ct,7/31/2017,6
40lb 65ct Sysco/FP,7/31/2017,0
40lb 70-80ct - CV,7/31/2017,1
40lb 70ct,7/31/2017,4
40lb 75ct,7/31/2017,7
40lb 90ct,7/31/2017,7
40lb Bonita (White),7/31/2017,2
40lb Bonita JBO,7/31/2017,0
40lb Fingerling,7/31/2017,3
40lb Jumbo,7/31/2017,0
40lb Marble Mix,7/31/2017,3
40lb Medium,7/31/2017,3
40lb Murasaki Med,7/31/2017,3
40lb No 1,7/31/2017,3
40lb No 2,7/31/2017,1
40lb Organic,7/31/2017,9
40lb Spc-Purple,7/31/2017,6
40lb Spec-Burgundy,7/31/2017,0
40lb Spec-Carolina Ruby,7/31/2017,1
500kg (100-150g),7/31/2017,2
500kg (150-300g),7/31/2017,6
500kg (220g-260g),7/31/2017,0
500kg (300-800g),7/31/2017,5
500kg (600-800g),7/31/2017,3
500kg Bonita Sm/Med,7/31/2017,0
500kg Class 2,7/31/2017,4
500kg Field Run,7/31/2017,0
500kg Giant,7/31/2017,3
500kg Pickouts,7/31/2017,0
500kg Spc - Purple ,7/31/2017,0
500kg Spc-Purple Mix,7/31/2017,0
"55"" Bin Giant",7/31/2017,13
6kg (150-300g),7/31/2017,0
6kg (300-450g)L1,7/31/2017,3
6kg (450-600g)L2,7/31/2017,3
6kg (600-800g),7/31/2017,1
6kg Spec-Purple,7/31/2017,0
8/3lb Bags,7/31/2017,3
HP StkHse (12-16oz),7/31/2017,1
Micro - 6Kg (24ct),7/31/2017,5
Micro 20lb 25ct,7/31/2017,0
Micro 20lb 30ct,7/31/2017,3
Murasaki Small Plastic,7/31/2017,0
"Murasaki(1.5""-3.5"") Plastic",7/31/2017,2
Pickouts - Plastic,7/31/2017,3
Plastic Bin Purple,7/31/2017,0
Tray Pack - 4 pk 12 ct,7/31/2017,5
Unused,7/31/2017,0
10lb #1,8/31/2017,6
12/3lb Bags,8/31/2017,10
12ct Steam Bags,8/31/2017,0
18kg (100-150g),8/31/2017,4
18kg (150-300g),8/31/2017,5
18kg (220-260g),8/31/2017,0
18kg (300-450g),8/31/2017,1
18kg (600-800g),8/31/2017,5
20lb #1,8/31/2017,0
20lb No.1 (20ct),8/31/2017,0
20lb Purple,8/31/2017,0
20lb Spec - Bonita No 1,8/31/2017,4
"36""Pickouts(2.5""-4.5"")",8/31/2017,1
40lb #1 Sysco/FP,8/31/2017,0
40lb 100ct,8/31/2017,1
40lb 110ct,8/31/2017,2
40lb 120ct - CV,8/31/2017,0
40lb 25-28ct - CV,8/31/2017,0
40lb 33ct,8/31/2017,4
40lb 35ct Sysco/FP,8/31/2017,0
40lb 38-40ct,8/31/2017,0
40lb 38-40ct - CV,8/31/2017,0
40lb 40-50ct - CV,8/31/2017,1
40lb 45ct,8/31/2017,20
40lb 50ct,8/31/2017,12
40lb 55-65ct - CV,8/31/2017,0
40lb 55ct,8/31/2017,17
40lb 65-85ct,8/31/2017,0
40lb 65ct,8/31/2017,10
40lb 65ct Sysco/FP,8/31/2017,0
40lb 70-80ct - CV,8/31/2017,0
40lb 70ct,8/31/2017,5
40lb 75ct,8/31/2017,7
40lb 90ct,8/31/2017,15
40lb Bonita (White),8/31/2017,3
40lb Bonita JBO,8/31/2017,0
40lb Fingerling,8/31/2017,8
40lb Jumbo,8/31/2017,1
40lb Marble Mix,8/31/2017,4
40lb Medium,8/31/2017,0
40lb Murasaki Med,8/31/2017,1
40lb No 1,8/31/2017,2
40lb No 1 - TFM,8/31/2017,2
40lb No 2,8/31/2017,0
40lb Organic,8/31/2017,4
40lb Spc-Purple,8/31/2017,8
40lb Spec-Burgundy,8/31/2017,0
40lb Spec-Carolina Ruby,8/31/2017,0
40lb Spec-Murasaki Mix,8/31/2017,1
500kg (100-150g),8/31/2017,5
500kg (150-300g),8/31/2017,18
500kg (220g-260g),8/31/2017,1
500kg (300-450g),8/31/2017,3
500kg (300-800g),8/31/2017,12
500kg (600-800g),8/31/2017,4
500kg Bonita Sm/Med,8/31/2017,1
500kg Class 2,8/31/2017,8
500kg Field Run,8/31/2017,4
500kg Giant,8/31/2017,12
500kg Pickouts,8/31/2017,0
500kg Spc - Purple ,8/31/2017,0
500kg Spc-Purple Mix,8/31/2017,3
"55"" Bin Giant",8/31/2017,15
6kg (150-300g),8/31/2017,0
6kg (300-450g)L1,8/31/2017,9
6kg (450-600g)L2,8/31/2017,7
6kg (600-800g),8/31/2017,7
6kg Spec-Purple,8/31/2017,3
8/3lb Bags,8/31/2017,4
HP StkHse (12-16oz),8/31/2017,3
Micro - 6Kg (24ct),8/31/2017,4
Micro 20lb 25ct,8/31/2017,0
Micro 20lb 30ct,8/31/2017,5
Murasaki Small Plastic,8/31/2017,2
"Murasaki(1.5""-3.5"") Plastic",8/31/2017,3
Pickouts - Plastic,8/31/2017,5
Plastic Bin Purple,8/31/2017,0
Plastic Bulk Giants,8/31/2017,1
Tray Pack - 4 pk 12 ct,8/31/2017,5
Unused,8/31/2017,1
10lb #1,9/30/2017,3
12/3lb Bags,9/30/2017,10
12ct Steam Bags,9/30/2017,0
18kg (100-150g),9/30/2017,3
18kg (150-300g),9/30/2017,6
18kg (220-260g),9/30/2017,0
18kg (300-450g),9/30/2017,0
18kg (600-800g),9/30/2017,3
20lb #1,9/30/2017,0
20lb No.1 (20ct),9/30/2017,1
20lb Purple,9/30/2017,0
20lb Spec - Bonita No 1,9/30/2017,3
"36""Pickouts(2.5""-4.5"")",9/30/2017,0
40lb #1 Sysco/FP,9/30/2017,0
40lb 100ct,9/30/2017,0
40lb 110ct,9/30/2017,1
40lb 120ct - CV,9/30/2017,0
40lb 25-28ct - CV,9/30/2017,0
40lb 33ct,9/30/2017,5
40lb 35ct Sysco/FP,9/30/2017,0
40lb 38-40ct,9/30/2017,2
40lb 38-40ct - CV,9/30/2017,3
40lb 40-50ct - CV,9/30/2017,1
40lb 45ct,9/30/2017,13
40lb 50ct,9/30/2017,12
40lb 55-65ct - CV,9/30/2017,0
40lb 55ct,9/30/2017,16
40lb 65-85ct,9/30/2017,0
40lb 65ct,9/30/2017,12
40lb 65ct Sysco/FP,9/30/2017,1
40lb 70-80ct - CV,9/30/2017,0
40lb 70ct,9/30/2017,5
40lb 75ct,9/30/2017,9
40lb 90ct,9/30/2017,19
40lb Bonita (White),9/30/2017,5
40lb Bonita JBO,9/30/2017,0
40lb Fingerling,9/30/2017,4
40lb Jumbo,9/30/2017,0
40lb Marble Mix,9/30/2017,3
40lb Medium,9/30/2017,3
40lb Murasaki Med,9/30/2017,1
40lb No 1,9/30/2017,2
40lb No 1 - TFM,9/30/2017,2
40lb No 2,9/30/2017,5
40lb Organic,9/30/2017,0
40lb Spc-Purple,9/30/2017,8
40lb Spec-Burgundy,9/30/2017,2
40lb Spec-Carolina Ruby,9/30/2017,0
40lb Spec-Murasaki Mix,9/30/2017,0
500kg (100-150g),9/30/2017,1
500kg (150-300g),9/30/2017,9
500kg (220g-260g),9/30/2017,1
500kg (300-450g),9/30/2017,0
500kg (300-800g),9/30/2017,9
500kg (600-800g),9/30/2017,4
500kg Bonita Sm/Med,9/30/2017,0
500kg Class 2,9/30/2017,6
500kg Field Run,9/30/2017,0
500kg Giant,9/30/2017,6
500kg Pickouts,9/30/2017,0
500kg Spc - Purple ,9/30/2017,0
500kg Spc-Purple Mix,9/30/2017,1
"55"" Bin Giant",9/30/2017,18
6kg (150-300g),9/30/2017,0
6kg (300-450g)L1,9/30/2017,2
6kg (450-600g)L2,9/30/2017,4
6kg (600-800g),9/30/2017,1
6kg Spec-Purple,9/30/2017,0
8/3lb Bags,9/30/2017,2
HP StkHse (12-16oz),9/30/2017,2
Micro - 6Kg (24ct),9/30/2017,5
Micro 20lb 25ct,9/30/2017,0
Micro 20lb 30ct,9/30/2017,3
"Murasaki(1.5""-3.5"") Plastic",9/30/2017,0
Pickouts - Plastic,9/30/2017,3
Plastic Bin Purple,9/30/2017,0
Plastic Bulk Giants,9/30/2017,1
Tray Pack - 4 pk 12 ct,9/30/2017,5
Unused,9/30/2017,0
10lb #1,10/31/2017,1
12/3lb Bags,10/31/2017,10
12ct Steam Bags,10/31/2017,1
18kg (100-150g),10/31/2017,4
18kg (150-300g),10/31/2017,1
18kg (220-260g),10/31/2017,1
18kg (300-450g),10/31/2017,0
18kg (600-800g),10/31/2017,3
20lb #1,10/31/2017,0
20lb Fingerling,10/31/2017,3
20lb No.1 (20ct),10/31/2017,5
20lb Purple,10/31/2017,1
20lb Spec - Bonita No 1,10/31/2017,4
"36""Pickouts(2.5""-4.5"")",10/31/2017,2
40lb #1 Sysco/FP,10/31/2017,0
40lb #2 Sysco/FP,10/31/2017,4
40lb 100ct,10/31/2017,1
40lb 110ct,10/31/2017,3
40lb 120ct - CV,10/31/2017,0
40lb 25-28ct - CV,10/31/2017,3
40lb 33ct,10/31/2017,2
40lb 35ct Sysco/FP,10/31/2017,8
40lb 38-40ct,10/31/2017,6
40lb 38-40ct - CV,10/31/2017,1
40lb 40-50ct - CV,10/31/2017,2
40lb 45ct,10/31/2017,17
40lb 45ct Sysco/FP,10/31/2017,5
40lb 50ct,10/31/2017,9
40lb 55-65ct - CV,10/31/2017,0
40lb 55ct,10/31/2017,16
40lb 55ct Sysco/FP,10/31/2017,4
40lb 65-85ct,10/31/2017,1
40lb 65ct,10/31/2017,3
40lb 65ct Sysco/FP,10/31/2017,5
40lb 70-80ct - CV,10/31/2017,3
40lb 70ct,10/31/2017,1
40lb 75ct,10/31/2017,5
40lb 75ct Sysco/FP,10/31/2017,5
40lb 80ct,10/31/2017,1
40lb 85-90ct Sy/FP,10/31/2017,1
40lb 90ct,10/31/2017,14
40lb Bonita (White),10/31/2017,8
40lb Bonita JBO,10/31/2017,1
40lb Fingerling,10/31/2017,10
40lb Jmbo Sysco/FP,10/31/2017,4
40lb Jumbo,10/31/2017,9
40lb Marble Mix,10/31/2017,5
40lb Med Sysco/FP,10/31/2017,1
40lb Medium,10/31/2017,4
40lb Murasaki Med,10/31/2017,0
40lb No 1,10/31/2017,3
40lb No 1 - TFM,10/31/2017,1
40lb No 2,10/31/2017,3
40lb Organic,10/31/2017,1
40lb Spc-Purple,10/31/2017,8
40lb Spec-Burgundy,10/31/2017,1
40lb Spec-Carolina Ruby,10/31/2017,1
40lb Spec-Murasaki Mix,10/31/2017,2
500kg (100-150g),10/31/2017,2
500kg (150-300g),10/31/2017,7
500kg (220g-260g),10/31/2017,3
500kg (300-450g),10/31/2017,1
500kg (300-800g),10/31/2017,4
500kg (600-800g),10/31/2017,1
500kg Bonita Sm/Med,10/31/2017,1
500kg Class 2,10/31/2017,6
500kg Field Run,10/31/2017,1
500kg Giant,10/31/2017,2
500kg Pickouts,10/31/2017,0
500kg Spc - Purple ,10/31/2017,3
500kg Spc-Purple Mix,10/31/2017,1
"55"" Bin Giant",10/31/2017,17
6kg (150-300g),10/31/2017,0
6kg (300-450g)L1,10/31/2017,2
6kg (450-600g)L2,10/31/2017,4
6kg (600-800g),10/31/2017,1
6kg Spec-Bonita,10/31/2017,1
6kg Spec-Purple,10/31/2017,3
8/3lb Bags,10/31/2017,5
HP StkHse (12-16oz),10/31/2017,4
Micro - 6Kg (24ct),10/31/2017,5
Micro 20lb 25ct,10/31/2017,0
Micro 20lb 30ct,10/31/2017,4
Micro 20lb 34ct FL,10/31/2017,7
"Murasaki(1.5""-3.5"") Plastic",10/31/2017,0
Pickouts - Plastic,10/31/2017,2
Plastic Bin Purple,10/31/2017,1
Plastic Bulk Giants,10/31/2017,4
SHP Bin - Mix,10/31/2017,2
Tray Pack - 4 pk 12 ct,10/31/2017,4
Unused,10/31/2017,1
10lb #1,11/30/2017,0
12/3lb Bags,11/30/2017,4
12ct Steam Bags,11/30/2017,1
18kg (100-150g),11/30/2017,8
18kg (150-300g),11/30/2017,5
18kg (220-260g),11/30/2017,0
18kg (300-450g),11/30/2017,0
18kg (600-800g),11/30/2017,5
20lb #1,11/30/2017,0
20lb Fingerling,11/30/2017,5
20lb No.1 (20ct),11/30/2017,1
20lb Purple,11/30/2017,1
20lb Spec - Bonita No 1,11/30/2017,7
"36""Pickouts(2.5""-4.5"")",11/30/2017,1
40lb #1 Sysco/FP,11/30/2017,0
40lb #2 Sysco/FP,11/30/2017,12
40lb 100ct,11/30/2017,1
40lb 110ct,11/30/2017,1
40lb 120ct - CV,11/30/2017,0
40lb 25-28ct - CV,11/30/2017,2
40lb 33ct,11/30/2017,1
40lb 35ct Sysco/FP,11/30/2017,5
40lb 38-40ct,11/30/2017,3
40lb 38-40ct - CV,11/30/2017,0
40lb 40-50ct - CV,11/30/2017,4
40lb 45ct,11/30/2017,11
40lb 45ct Sysco/FP,11/30/2017,6
40lb 50ct,11/30/2017,12
40lb 55-65ct - CV,11/30/2017,0
40lb 55ct,11/30/2017,10
40lb 55ct Sysco/FP,11/30/2017,11
40lb 65-85ct,11/30/2017,0
40lb 65ct,11/30/2017,9
40lb 65ct Sysco/FP,11/30/2017,6
40lb 70-80ct - CV,11/30/2017,0
40lb 70ct,11/30/2017,5
40lb 75ct,11/30/2017,0
40lb 75ct Sysco/FP,11/30/2017,15
40lb 85-90ct Sy/FP,11/30/2017,6
40lb 90ct,11/30/2017,14
40lb Bonita (White),11/30/2017,2
40lb Fingerling,11/30/2017,4
40lb Jmbo Sysco/FP,11/30/2017,8
40lb Jumbo,11/30/2017,4
40lb Marble Mix,11/30/2017,1
40lb Med Sysco/FP,11/30/2017,6
40lb Medium,11/30/2017,1
40lb Murasaki Med,11/30/2017,0
40lb No 1,11/30/2017,6
40lb No 1 - TFM,11/30/2017,1
40lb No 2,11/30/2017,0
40lb Organic,11/30/2017,1
40lb Spc-Purple,11/30/2017,3
40lb Spec-Burgundy,11/30/2017,0
40lb Spec-Carolina Ruby,11/30/2017,0
40lb Spec-Murasaki Mix,11/30/2017,0
500kg (100-150g),11/30/2017,0
500kg (150-300g),11/30/2017,3
500kg (220g-260g),11/30/2017,0
500kg (300-450g),11/30/2017,0
500kg (300-800g),11/30/2017,1
500kg (600-800g),11/30/2017,0
500kg Bonita Sm/Med,11/30/2017,0
500kg Class 2,11/30/2017,5
500kg Field Run,11/30/2017,0
500kg Giant,11/30/2017,1
500kg Pickouts,11/30/2017,0
500kg Spc - Purple ,11/30/2017,5
500kg Spc-Purple Mix,11/30/2017,1
"55"" Bin Giant",11/30/2017,19
6kg (150-300g),11/30/2017,2
6kg (300-450g)L1,11/30/2017,7
6kg (450-600g)L2,11/30/2017,9
6kg (600-800g),11/30/2017,1
6kg Spec-Purple,11/30/2017,4
8/3lb Bags,11/30/2017,0
HP StkHse (12-16oz),11/30/2017,2
Micro - 6Kg (24ct),11/30/2017,5
Micro 20lb 25ct,11/30/2017,1
Micro 20lb 30ct,11/30/2017,2
Micro 20lb 34ct FL,11/30/2017,9
"Murasaki(1.5""-3.5"") Plastic",11/30/2017,0
Pickouts - Plastic,11/30/2017,3
Plastic Bulk Giants,11/30/2017,7
SHP - Giant,11/30/2017,1
SHP Bin - Medium,11/30/2017,6
SHP Bin - Mix,11/30/2017,0
SHP Bin - Small,11/30/2017,2
SHP Bin - XL,11/30/2017,2
Tray Pack - 4 pk 12 ct,11/30/2017,3
Unused,11/30/2017,0
10lb #1,12/31/2017,1
12/3lb Bags,12/31/2017,5
12ct Steam Bags,12/31/2017,2
18kg (100-150g),12/31/2017,3
18kg (150-300g),12/31/2017,1
18kg (220-260g),12/31/2017,0
18kg (300-450g),12/31/2017,0
18kg (600-800g),12/31/2017,2
20lb #1,12/31/2017,3
20lb Fingerling,12/31/2017,2
20lb No.1 (20ct),12/31/2017,3
20lb Organic-#1,12/31/2017,1
20lb Purple,12/31/2017,0
20lb Spec - Bonita No 1,12/31/2017,4
"36""Pickouts(2.5""-4.5"")",12/31/2017,1
40lb #1 Sysco/FP,12/31/2017,1
40lb #2 Sysco/FP,12/31/2017,6
40lb 100ct,12/31/2017,2
40lb 110ct,12/31/2017,1
40lb 120ct - CV,12/31/2017,0
40lb 25-28ct - CV,12/31/2017,2
40lb 30ct,12/31/2017,1
40lb 33ct,12/31/2017,1
40lb 35ct Sysco/FP,12/31/2017,3
40lb 38-40ct,12/31/2017,0
40lb 38-40ct - CV,12/31/2017,1
40lb 40-50ct - CV,12/31/2017,5
40lb 45ct,12/31/2017,9
40lb 45ct Sysco/FP,12/31/2017,8
40lb 50ct,12/31/2017,4
40lb 55-65ct - CV,12/31/2017,0
40lb 55ct,12/31/2017,9
40lb 55ct Sysco/FP,12/31/2017,7
40lb 65-85ct,12/31/2017,3
40lb 65ct,12/31/2017,5
40lb 65ct Sysco/FP,12/31/2017,5
40lb 70-80ct - CV,12/31/2017,4
40lb 70ct,12/31/2017,7
40lb 75ct,12/31/2017,0
40lb 75ct Sysco/FP,12/31/2017,3
40lb 85-90ct Sy/FP,12/31/2017,9
40lb 90ct,12/31/2017,12
40lb Bonita (White),12/31/2017,5
40lb Fingerling,12/31/2017,9
40lb Jmbo Sysco/FP,12/31/2017,7
40lb Jumbo,12/31/2017,11
40lb Marble Mix,12/31/2017,3
40lb Med Sysco/FP,12/31/2017,4
40lb Murasaki #1,12/31/2017,1
40lb Murasaki Med,12/31/2017,0
40lb No 1,12/31/2017,8
40lb No 1 - TFM,12/31/2017,0
40lb No 2,12/31/2017,0
40lb Organic,12/31/2017,5
40lb Spc-Purple,12/31/2017,7
40lb Spec-Burgundy,12/31/2017,1
40lb Spec-Carolina Ruby,12/31/2017,0
40lb Spec-Murasaki Mix,12/31/2017,1
500kg (100-150g),12/31/2017,1
500kg (150-300g),12/31/2017,5
500kg (220g-260g),12/31/2017,0
500kg (300-450g),12/31/2017,0
500kg (300-800g),12/31/2017,2
500kg (600-800g),12/31/2017,0
500kg Bonita Sm/Med,12/31/2017,1
500kg Class 2,12/31/2017,2
500kg Field Run,12/31/2017,0
500kg Giant,12/31/2017,0
500kg Pickouts,12/31/2017,0
500kg Spc - Purple ,12/31/2017,0
500kg Spc-Purple Mix,12/31/2017,1
"55"" Bin Giant",12/31/2017,16
