Description,GTINShipDate,Quantity
40lb 55ct,7/31/2016,5
40lb 65-85ct,7/31/2016,3
40lb 65ct,7/31/2016,2
40lb 65ct Sysco/FP,7/31/2016,3
40lb 70-80ct - CV,7/31/2016,1
40lb 70ct,7/31/2016,2
40lb 75-85ct,7/31/2016,2
40lb 75ct,7/31/2016,3
40lb 90ct,7/31/2016,4
40lb Bonita (White),7/31/2016,3
40lb Bonita JBO,7/31/2016,2
40lb Fingerling,7/31/2016,3
40lb Jumbo,7/31/2016,4
40lb Medium,7/31/2016,3
40lb Murasaki Med,7/31/2016,1
40lb No 1,7/31/2016,3
40lb No 2,7/31/2016,2
40lb Organic,7/31/2016,1
40lb Spc-Purple,7/31/2016,3
40lb Spec-Burgundy,7/31/2016,0
500kg (150-300g),7/31/2016,3
500kg (300-800g),7/31/2016,2
500kg Field Run,7/31/2016,3
500kg Giant,7/31/2016,2
500kg Pickouts,7/31/2016,0
500kg Spc - Purple ,7/31/2016,0
500kg Spc-Purple Mix,7/31/2016,0
"55"" Bin Giant",7/31/2016,2
6kg (150-300g),7/31/2016,0
6kg (300-450g)L1,7/31/2016,2
6kg (450-600g)L2,7/31/2016,3
6kg (600-800g),7/31/2016,1
HP StkHse (12-16oz),7/31/2016,1
Micro - 6Kg (24ct),7/31/2016,2
Micro 20lb 25ct,7/31/2016,1
Micro 20lb 30ct,7/31/2016,3
Murasaki Small Plastic,7/31/2016,0
Pickouts - Plastic,7/31/2016,1
Tray Pack - 4 pk 12 ct,7/31/2016,3
10lb #1,8/31/2016,2
10lb Spec-Purple,8/31/2016,0
12/3lb Bags,8/31/2016,5
12ct Steam Bags,8/31/2016,1
18kg (100-150g),8/31/2016,6
18kg (220-260g),8/31/2016,2
18kg (600-800g),8/31/2016,4
20lb #1,8/31/2016,1
20lb Purple,8/31/2016,1
20lb Spec - Bonita No 1,8/31/2016,0
"36""Pickouts(2.5""-4.5"")",8/31/2016,0
40lb #1 Sysco/FP,8/31/2016,0
40lb 100ct,8/31/2016,0
40lb 110ct,8/31/2016,1
40lb 120ct - CV,8/31/2016,1
40lb 25-28ct - CV,8/31/2016,0
40lb 33ct,8/31/2016,2
40lb 35ct Sysco/FP,8/31/2016,1
40lb 38-40ct - CV,8/31/2016,1
40lb 45ct,8/31/2016,3
