Date,Prediction,Prediction_lower_bound,Prediction_upper_bound
2018-04-30,29.79,17.81,49.58
2018-05-31,47.55,26.56,78.38
2018-06-30,36.93,21.8,61.73
2018-07-31,38.57,23.19,66.84
2018-08-31,60.3,35.53,102.02
