Description,GTINShipDate,Quantity
6kg (300-450g)L1,6/20/2016,1
40lb 50ct,6/20/2016,1
500kg Pickouts,6/20/2016,1
18kg (100-150g),6/20/2016,1
500kg (150-300g),6/21/2016,1
500kg (150-300g),6/22/2016,1
6kg (300-450g)L1,6/22/2016,1
500kg Spc-Purple Mix,6/23/2016,1
500kg Giant,6/23/2016,1
12/3lb Bags,6/23/2016,1
"55"" Bin Giant",6/23/2016,1
500kg (150-300g),6/23/2016,1
500kg (150-300g),6/24/2016,1
40lb Medium,6/24/2016,1
6kg (450-600g)L2,6/24/2016,1
Micro 20lb 30ct,6/24/2016,1
18kg (220-260g),6/24/2016,1
6kg (300-450g)L1,6/27/2016,1
40lb Spc-Purple,6/27/2016,1
40lb 45ct,6/27/2016,1
40lb Jumbo,6/27/2016,1
500kg (150-300g),6/27/2016,1
40lb 33ct,6/27/2016,1
40lb Medium,6/27/2016,1
20lb #1,6/27/2016,1
40lb No 1,6/27/2016,1
40lb 65-85ct,6/27/2016,1
12/3lb Bags,6/27/2016,1
18kg (220-260g),6/27/2016,1
40lb 55ct,6/27/2016,1
6kg (450-600g)L2,6/27/2016,1
Micro 20lb 30ct,6/27/2016,1
40lb Fingerling,6/27/2016,1
Micro - 6Kg (24ct),6/27/2016,1
"55"" Bin Giant",6/27/2016,1
18kg (600-800g),6/27/2016,1
40lb 50ct,6/27/2016,1
40lb No 1,6/28/2016,1
500kg (150-300g),6/28/2016,1
40lb Jumbo,6/28/2016,1
Micro - 6Kg (24ct),6/28/2016,1
"55"" Bin Giant",6/28/2016,1
12/3lb Bags,6/28/2016,1
6kg (450-600g)L2,6/28/2016,1
40lb Bonita JBO,6/28/2016,1
40lb Fingerling,6/28/2016,1
40lb 45ct,6/28/2016,1
40lb 50ct,6/28/2016,1
40lb 65-85ct,6/28/2016,1
20lb #1,6/28/2016,1
Tray Pack - 4 pk 12 ct,6/28/2016,1
20lb Spec - Bonita No 1,6/28/2016,1
500kg Field Run,6/29/2016,1
18kg (100-150g),6/29/2016,1
HP StkHse (12-16oz),6/30/2016,1
40lb 90ct,6/30/2016,1
40lb 70ct,6/30/2016,1
500kg (300-800g),6/30/2016,1
40lb Spc-Purple,6/30/2016,1
10lb Spec-Purple,6/30/2016,1
40lb 45ct,6/30/2016,1
18kg (100-150g),6/30/2016,1
12/3lb Bags,6/30/2016,1
500kg (150-300g),6/30/2016,1
