GTINShipDate,Quantity
1/10/2017,1.0
1/11/2018,1.0
1/12/2018,1.0
1/12/2018,1.0
1/15/2018,1.0
1/15/2018,1.0
1/16/2017,1.0
1/18/2018,1.0
1/19/2018,1.0
1/2/2018,1.0
1/20/2017,1.0
1/20/2017,1.0
1/22/2018,1.0
1/23/2018,1.0
1/24/2018,1.0
1/25/2017,1.0
1/26/2018,1.0
1/26/2018,1.0
1/27/2017,1.0
1/27/2017,1.0
1/27/2018,1.0
1/3/2017,1.0
1/3/2017,1.0
1/30/2017,1.0
1/30/2018,1.0
1/31/2018,1.0
1/4/2018,1.0
1/5/2018,1.0
1/8/2018,1.0
10/18/2017,1.0
10/2/2017,1.0
10/23/2017,1.0
10/28/2017,1.0
10/30/2017,1.0
10/5/2017,1.0
10/5/2017,1.0
10/9/2017,1.0
11/10/2017,1.0
11/11/2017,1.0
11/15/2017,1.0
11/16/2017,1.0
11/18/2017,1.0
11/18/2017,1.0
11/21/2017,1.0
11/22/2017,1.0
11/24/2017,1.0
11/24/2017,1.0
11/27/2017,1.0
11/27/2017,1.0
11/30/2016,1.0
11/30/2017,1.0
11/4/2017,1.0
11/9/2017,1.0
12/11/2017,1.0
12/11/2017,1.0
12/12/2016,1.0
12/12/2016,1.0
12/14/2017,1.0
12/15/2017,1.0
12/21/2017,1.0
12/22/2017,1.0
12/26/2017,1.0
12/27/2016,1.0
12/27/2016,1.0
12/29/2017,1.0
12/29/2017,1.0
12/4/2017,1.0
2/1/2018,1.0
2/13/2018,1.0
2/15/2018,1.0
2/16/2018,1.0
2/2/2018,1.0
2/2/2018,1.0
2/20/2017,1.0
2/22/2018,1.0
2/23/2018,1.0
2/23/2018,1.0
2/28/2017,1.0
2/3/2017,1.0
2/5/2018,1.0
3/12/2018,1.0
3/14/2018,1.0
3/16/2018,1.0
3/19/2018,1.0
3/2/2018,1.0
3/20/2018,1.0
3/21/2018,1.0
3/23/2018,1.0
3/27/2017,1.0
3/27/2018,1.0
3/28/2017,1.0
3/29/2017,1.0
3/29/2018,1.0
3/31/2016,1.0
3/31/2017,1.0
3/7/2017,1.0
3/7/2017,1.0
3/8/2017,1.0
4/10/2017,1.0
4/11/2017,1.0
4/12/2017,1.0
4/14/2017,1.0
4/28/2017,1.0
4/3/2017,1.0
4/3/2017,1.0
4/6/2017,1.0
4/6/2017,1.0
4/7/2017,1.0
4/7/2017,1.0
4/8/2017,1.0
5/1/2017,1.0
5/12/2017,1.0
5/18/2017,1.0
5/19/2017,1.0
5/2/2017,1.0
5/22/2017,1.0
5/25/2017,1.0
5/26/2017,1.0
6/1/2017,1.0
6/10/2016,1.0
6/11/2016,1.0
6/12/2017,1.0
6/15/2017,1.0
6/16/2016,1.0
6/16/2017,1.0
6/20/2016,1.0
6/22/2017,1.0
6/23/2017,1.0
6/26/2017,1.0
6/29/2017,1.0
6/3/2016,1.0
6/30/2017,1.0
6/5/2017,1.0
6/8/2017,1.0
6/9/2017,1.0
7/14/2017,1.0
7/18/2016,1.0
7/20/2017,1.0
7/21/2016,1.0
7/21/2017,1.0
7/24/2017,1.0
7/26/2016,1.0
7/3/2017,1.0
7/7/2016,1.0
7/7/2016,1.0
7/7/2017,1.0
8/14/2017,1.0
8/15/2016,1.0
8/15/2016,1.0
8/15/2017,1.0
8/21/2017,1.0
8/23/2017,1.0
8/25/2017,1.0
8/28/2017,1.0
8/30/2017,1.0
8/31/2017,1.0
8/7/2017,1.0
8/8/2017,1.0
9/1/2017,1.0
9/11/2017,1.0
9/12/2017,1.0
9/14/2017,1.0
9/16/2016,1.0
9/18/2017,1.0
9/21/2017,1.0
9/22/2017,1.0
9/25/2017,1.0
9/28/2017,1.0
9/29/2017,1.0
9/4/2017,1.0
9/7/2017,1.0
9/8/2017,1.0
